Chicago O'Hare International Airport,Chicago,United States,ORD,41.9786,-87.9048
Hartsfield Jackson Atlanta International Airport,Atlanta,United States,ATL,33.6367,-84.428101
Dallas Fort Worth International Airport,Dallas-Fort Worth,United States,DFW,32.896801,-97.038002
Denver International Airport,Denver,United States,DEN,39.86169815,-104.6729965
John F Kennedy International Airport,New York,United States,JFK,40.63980103,-73.77890015
Detroit Metropolitan Wayne County Airport,Detroit,United States,DTW,42.21239853,-83.35340118
San Francisco International Airport,San Francisco,United States,SFO,37.61899948,-122.375
Orlando Executive Airport,Orlando,United States,ORL,28.5455,-81.332901
Salt Lake City International Airport,Salt Lake City,United States,SLC,40.78839874,-111.9779968
Los Angeles International Airport,Los Angeles,United States,LAX,33.94250107,-118.4079971
